"MULGA BORE","NT","0872","NT   "
"MURPUTJA HOMELANDS","NT","0872","NT   "
"MUTITJULU","NT","0872","NT   "
"NGAANYATJARRA-GILES","NT","0872","NT   "
"NYAPARI","NT","0872","NT   "
"NYIRRIPI","NT","0872","NT   "
"PAPUNYA","NT","0872","NT   "
"PATJARR","NT","0872","NT   "
"PITJANTJATJARA HOMELANDS","NT","0872","NT   "
"SANDOVER","NT","0872","NT   "
"SANTA TERESA","NT","0872","NT   "
"TANAMI","NT","0872","NT   "
"THANGKENHARENGE","NT","0872","NT   "
"TI TREE","NT","0872","NT   "
"TJIRRKARLI","NT","0872","NT   "
"TJUKURLA","NT","0872","NT   "
"ULURU","NT","0872","NT   "
"UMPANGARA","NT","0872","NT   "
"URAPUNTJA","NT","0872","NT   "
"WALLACE ROCKHOLE","NT","0872","NT   "
"WANARN","NT","0872","NT   "
"WARAKURNA","NT","0872","NT   "
"WARRABRI","NT","0872","NT   "
"WILLOWRA","NT","0872","NT   "
"WILORA","NT","0872","NT   "
"WINGELLINA","NT","0872","NT   "
"YUELAMU","NT","0872","NT   "
"YUENDUMU","NT","0872","NT   "
"YULARA","NT","0872","NT   "
"IRLPME","NT","0874","NT   "
"MOUNT JOHNS","NT","0874","ASP  "
"UNDOOLYA","NT","0874","NT   "
"FLYNN","NT","0875","NT   "
"LARAPINTA","NT","0875","NT   "
"GAPUWIYAK","NT","0880","NT   "
"GOVE","NT","0880","NT   "
"NHULUNBUY","NT","0880","NT   "
"YIRRKALA","NT","0880","NT   "
"ALYANGULA","NT","0885","NT   "
"GROOTE EYLANDT","NT","0885","NT   "
"JABIRU","NT","0886","NT   "
"KAKADU","NT","0886","NT   "
"CHARLES DARWIN UNIVERSITY","NT","0909","DRW  "
"AUSTRALIA SQUARE","NSW","2000","SYD1 "
"BARANGAROO","NSW","2000","SYD1 "
"CIRCULAR QUAY","NSW","2000","SYD1 "
"COCKATOO ISLAND","NSW","2000","SYD1 "
"DARLING HARBOUR","NSW","2000","SYD1 "
"DAWES POINT","NSW","2000","SYD1 "
"GOAT ISLAND","NSW","2000","SYD1 "
"HAYMARKET","NSW","2000","SYD1 "
"MILLERS POINT","NSW","2000","SYD1 "
"PARLIAMENT HOUSE","NSW","2000","SYD1 "
"QUEEN VICTORIA BUILDING","NSW","2000","SYD1 "
"RAILWAY SQUARE","NSW","2000","SYD1 "
"SPECTACLE ISLAND","NSW","2000","SYD1 "
"ST JAMES","NSW","2000","SYD1 "
"SYDNEY","NSW","2000","SYD1 "
"SYDNEY SOUTH","NSW","2000","SYD1 "
"THE ROCKS","NSW","2000","SYD1 "
"WALSH BAY","NSW","2000","SYD1 "
"SYDNEY UNIVERSITY","NSW","2006","SYD1 "
"THE UNIVERSITY OF SYDNEY","NSW","2006","SYD1 "
"UNI OF SYDNEY","NSW","2006","SYD1 "
"UNIVERSITY OF SYDNEY","NSW","2006","SYD1 "
"BROADWAY","NSW","2007","SYD1 "
"ULTIMO","NSW","2007","SYD1 "
"CHIPPENDALE","NSW","2008","SYD1 "
"DARLINGTON","NSW","2008","SYD1 "
"GOLDEN GROVE","NSW","2008","SYD1 "
"BLACK WATTLE BAY","NSW","2009","SYD1 "
"DARLING ISLAND","NSW","2009","SYD1 "
"PYRMONT","NSW","2009","SYD1 "
"DARLINGHURST","NSW","2010","SYD1 "
"EAST SYDNEY","NSW","2010","SYD1 "
"SURRY HILLS","NSW","2010","SYD1 "
"TAYLOR SQUARE","NSW","2010","SYD1 "
"ELIZABETH BAY","NSW","2011","SYD1 "
"GARDEN ISLAND","NSW","2011","SYD1 "
"HMAS KUTTABUL","NSW","2011","SYD1 "
"KINGS CROSS","NSW","2011","SYD1 "
"POTTS POINT","NSW","2011","SYD1 "
"RUSHCUTTERS BAY","NSW","2011","SYD1 "
"WOOLLOOMOOLOO","NSW","2011","SYD1 "
"STRAWBERRY HILLS","NSW","2012","SYD1 "
"ALEXANDRIA","NSW","2015","SYD1 "
"BEACONSFIELD","NSW","2015","SYD1 "
"EVELEIGH","NSW","2015","SYD1 "
"REDFERN","NSW","2016","SYD1 "
"VICTORIA PARK","NSW","2017","SYD1 "
"WATERLOO","NSW","2017","SYD1 "
"ZETLAND","NSW","2017","SYD1 "
"EASTLAKES","NSW","2018","SYD1 "
"ROSEBERY","NSW","2018","SYD1 "
"BANKSMEADOW","NSW","2019","SYD1 "
"BOTANY","NSW","2019","SYD1 "
"LAURISTON PARK","NSW","2020","SYD1 "
"MASCOT","NSW","2020","SYD1 "
